Unnamed: 0,Doll_name,Link,Picture_link,Number_of_bids,Minimum_bid,Final_price,Estimated_price_range_min,Estimated_price_range_max,final_tags
379,S & H 1159 “Lady” Doll.,http://auctions.morphyauctions.com/S___H_1159__Lady__Doll__-LOT260354.aspx,https://auctions.morphyauctions.com/ItemImages/000260/17140120_1_sm.jpeg,21,175,1000,750,1250,17140120_
2171,Elegant Kestner Lady Doll.,http://auctions.morphyauctions.com/Elegant_Kestner_Lady_Doll_________________________-LOT168716.aspx,https://auctions.morphyauctions.com/ItemImages/000168/168716a_sm.jpeg,1,200,1003,800,1200,168716a_
3407,Lot of 3: Native American Cradle Boards.,http://auctions.morphyauctions.com/Lot_of_3__Native_American_Cradle_Boards___________-LOT92599.aspx,https://auctions.morphyauctions.com/ItemImages/000092/92599a_sm.jpeg,1,125,1003,500,800,92599a_
3925,Lot of 4 Artist Akira Blount Dolls.,http://auctions.morphyauctions.com/Lot_of_4_Artist_Akira_Blount_Dolls________________-LOT79966.aspx,https://auctions.morphyauctions.com/ItemImages/000079/79966a_sm.jpeg,2,150,1003,600,1000,79966a_
2075,Wistful Kathe Kruse “Doll 1”.,http://auctions.morphyauctions.com/Wistful_Kathe_Kruse__Doll_1_______________________-LOT168598.aspx,https://auctions.morphyauctions.com/ItemImages/000168/168598a_sm.jpeg,1,250,1003,1000,1500,168598a_
2029,Splendid K & R Character Doll.,http://auctions.morphyauctions.com/Splendid_K___R_Character_Doll_____________________-LOT168539.aspx,https://auctions.morphyauctions.com/ItemImages/000168/168539a_sm.jpeg,1,300,1003,1200,1600,168539a_
2098,Pouty K & R Character Child.,http://auctions.morphyauctions.com/Pouty_K___R_Character_Child_______________________-LOT168877.aspx,https://auctions.morphyauctions.com/ItemImages/000168/168877a_sm.jpeg,1,225,1003,900,1300,168877a_
3361,Delightful SFBJ Character Doll.,http://auctions.morphyauctions.com/Delightful_SFBJ_Character_Doll____________________-LOT92553.aspx,https://auctions.morphyauctions.com/ItemImages/000092/92553a_sm.jpeg,2,225,1003,900,1200,92553a_
132,"""13"""" All Original Belton Child Doll.""",http://auctions.morphyauctions.com/13__All_Original_Belton_Child_Doll_-LOT448864.aspx,https://auctions.morphyauctions.com/ItemImages/000448/18190664_1_sm.jpeg,8,500,1008,1000,1500,18190664_
438,Lot of 5:  Jointed Felix Figures Inc. by Schoenhut.,http://auctions.morphyauctions.com/Lot_of_5___Jointed_Felix_Figures_Inc__by_Schoenhut-LOT257241.aspx,https://auctions.morphyauctions.com/ItemImages/000257/17070726_1_sm.jpeg,13,125,1016,550,850,17070726_
