Unnamed: 0,Doll_name,Link,Picture_link,Number_of_bids,Minimum_bid,Final_price,Estimated_price_range_min,Estimated_price_range_max,final_tags
3129,Lot of 17: Travel Dolls.,http://auctions.morphyauctions.com/Lot_of_17__Travel_Dolls___________________________-LOT108093.aspx,https://auctions.morphyauctions.com/ItemImages/000108/108093a_sm.jpeg,1,12,11.8,50,100,108093a_
2429,Lot of 6: Porcelain Artist Dolls.,http://auctions.morphyauctions.com/Lot_of_6__Porcelain_Artist_Dolls__________________-LOT143108.aspx,https://auctions.morphyauctions.com/ItemImages/000143/143108a_sm.jpeg,1,5,11.8,20,50,143108a_
2497,Lot of 2: Vinyl Ashton-Drake Artist Dolls.,http://auctions.morphyauctions.com/Lot_of_2__Vinyl_Ashton_Drake_Artist_Dolls_________-LOT143105.aspx,https://auctions.morphyauctions.com/ItemImages/000143/143105a_sm.jpeg,1,5,11.8,20,50,143105a_
2861,Lot of 3: Dolls.,http://auctions.morphyauctions.com/Lot_of_3__Dolls___________________________________-LOT112132.aspx,https://auctions.morphyauctions.com/ItemImages/000112/112132a_sm.jpeg,1,12,11.8,50,80,112132a_
2830,Lot of 2: Boxed Dolls.,http://auctions.morphyauctions.com/Lot_of_2__Boxed_Dolls_____________________________-LOT112155.aspx,https://auctions.morphyauctions.com/ItemImages/000112/112155a_sm.jpeg,1,12,11.8,50,80,112155a_
2862,Lot of 2: African American Child Dolls.,http://auctions.morphyauctions.com/Lot_of_2__African_American_Child_Dolls____________-LOT112149.aspx,https://auctions.morphyauctions.com/ItemImages/000112/112149a_sm.jpeg,1,17,11.8,70,150,112149a_
2499,Lot of 3: Large Vinyl Artist Dolls.,http://auctions.morphyauctions.com/Lot_of_3__Large_Vinyl_Artist_Dolls________________-LOT143112.aspx,https://auctions.morphyauctions.com/ItemImages/000143/143112a_sm.jpeg,1,12,11.8,50,100,143112a_
2864,Lot of 3: Modern Artist Dolls.,http://auctions.morphyauctions.com/Lot_of_3__Modern_Artist_Dolls_____________________-LOT111428.aspx,https://auctions.morphyauctions.com/ItemImages/000111/111428a_sm.jpeg,1,25,11.8,100,200,111428a_
2502,Lot of 4: Vinyl Artist Dolls by Zook.,http://auctions.morphyauctions.com/Lot_of_4__Vinyl_Artist_Dolls_by_Zook______________-LOT143116.aspx,https://auctions.morphyauctions.com/ItemImages/000143/143116a_sm.jpeg,1,5,11.8,20,50,143116a_
2375,Lot of 16: Assorted Dolls of Various Materials.,http://auctions.morphyauctions.com/Lot_of_16__Assorted_Dolls_of_Various_Materials____-LOT149013.aspx,https://auctions.morphyauctions.com/ItemImages/000149/149013a_sm.jpeg,1,6,11.8,25,50,149013a_
2628,Lot of 3: Antique Wood Chairs.,http://auctions.morphyauctions.com/Lot_of_3__Antique_Wood_Chairs_____________________-LOT115047.aspx,https://auctions.morphyauctions.com/ItemImages/000115/115047a_sm.jpeg,1,10,12,40,80,115047a_
2684,Lot of 5: Pittsburgh Original Dolls.,http://auctions.morphyauctions.com/Lot_of_5__Pittsburgh_Original_Dolls_______________-LOT117279.aspx,https://auctions.morphyauctions.com/ItemImages/000117/117279a_sm.jpeg,1,25,12,100,300,117279a_
2458,Wooden Doll Cedar Chest.,http://auctions.morphyauctions.com/Wooden_Doll_Cedar_Chest___________________________-LOT144326.aspx,https://auctions.morphyauctions.com/ItemImages/000144/144326a_sm.jpeg,1,12,12,50,100,144326a_
1186,Lot of 3: Antique China Head Dolls.,http://auctions.morphyauctions.com/Lot_of_3__Antique_China_Head_Dolls________________-LOT220960.aspx,https://auctions.morphyauctions.com/ItemImages/000220/220960a_sm.jpeg,1,12,12,50,75,220960a_
2414,Lot of 4: Dolls.,http://auctions.morphyauctions.com/Lot_of_4__Dolls___________________________________-LOT143121.aspx,https://auctions.morphyauctions.com/ItemImages/000143/143121a_sm.jpeg,1,5,12,20,50,143121a_
2416,Lof of 4: Cabbage Patch Dolls.,http://auctions.morphyauctions.com/Lof_of_4__Cabbage_Patch_Dolls_____________________-LOT143130.aspx,https://auctions.morphyauctions.com/ItemImages/000143/143130a_sm.jpeg,1,5,12,20,40,143130a_
1187,Lot of 7: Antique China Dolls & Heads.,http://auctions.morphyauctions.com/Lot_of_7__Antique_China_Dolls___Heads_____________-LOT220961.aspx,https://auctions.morphyauctions.com/ItemImages/000220/220961a_sm.jpeg,1,6,12,25,50,220961a_
3084,Large Lot of Bisque & China Reproduction Parts.,http://auctions.morphyauctions.com/Large_Lot_of_Bisque___China_Reproduction_Parts____-LOT107273.aspx,https://auctions.morphyauctions.com/ItemImages/000107/107273a_sm.jpeg,1,25,12,100,200,107273a_
3130,Lot of 3: Oriental Dolls.,http://auctions.morphyauctions.com/Lot_of_3__Oriental_Dolls__________________________-LOT108094.aspx,https://auctions.morphyauctions.com/ItemImages/000108/108094a_sm.jpeg,1,12,12,50,100,108094a_
2494,Lot of 5: Vinyl Dolls.,http://auctions.morphyauctions.com/Lot_of_5__Vinyl_Dolls_____________________________-LOT143090.aspx,https://auctions.morphyauctions.com/ItemImages/000143/143090a_sm.jpeg,1,12,12,50,100,143090a_
2492,Lot of 5: Vinyl Boxed Effanbee Dolls.,http://auctions.morphyauctions.com/Lot_of_5__Vinyl_Boxed_Effanbee_Dolls______________-LOT143085.aspx,https://auctions.morphyauctions.com/ItemImages/000143/143085a_sm.jpeg,1,5,12,20,50,143085a_
2465,Lot of Ephemera.,http://auctions.morphyauctions.com/Lot_of_Ephemera___________________________________-LOT140812.aspx,https://auctions.morphyauctions.com/ItemImages/000140/140812a_sm.jpeg,1,6,12,25,50,140812a_
2411,Lof of 5: Artist & Reproduction Porcelain Dolls.,http://auctions.morphyauctions.com/Lof_of_5__Artist___Reproduction_Porcelain_Dolls___-LOT143104.aspx,https://auctions.morphyauctions.com/ItemImages/000143/143104a_sm.jpeg,1,12,12,50,100,143104a_
2408,Lot of 8: Dolls.,http://auctions.morphyauctions.com/Lot_of_8__Dolls___________________________________-LOT143093.aspx,https://auctions.morphyauctions.com/ItemImages/000143/143093a_sm.jpeg,1,12,12,50,100,143093a_
2500,Lot of 6: Vinyl Artist Dolls.,http://auctions.morphyauctions.com/Lot_of_6__Vinyl_Artist_Dolls______________________-LOT143114.aspx,https://auctions.morphyauctions.com/ItemImages/000143/143114a_sm.jpeg,1,5,12,20,50,143114a_
2501,Lot of 4: Vinyl Artist Dolls.,http://auctions.morphyauctions.com/Lot_of_4__Vinyl_Artist_Dolls______________________-LOT143115.aspx,https://auctions.morphyauctions.com/ItemImages/000143/143115a_sm.jpeg,1,5,12,20,40,143115a_
2507,Lot of 4: Vinyl Artist Dolls.,http://auctions.morphyauctions.com/Lot_of_4__Vinyl_Artist_Dolls______________________-LOT143141.aspx,https://auctions.morphyauctions.com/ItemImages/000143/143141a_sm.jpeg,1,5,12,20,30,143141a_
2475,Lot of 2: Wooden Doll Swings.,http://auctions.morphyauctions.com/Lot_of_2__Wooden_Doll_Swings______________________-LOT143145.aspx,https://auctions.morphyauctions.com/ItemImages/000143/143145a_sm.jpeg,1,5,12,20,50,143145a_
2509,Lot of 5: Large Vintage Vinyl Dolls.,http://auctions.morphyauctions.com/Lot_of_5__Large_Vintage_Vinyl_Dolls_______________-LOT143081.aspx,https://auctions.morphyauctions.com/ItemImages/000143/143081a_sm.jpeg,1,12,12,50,100,143081a_
1195,"""MIB 1985 Porcelain Enesco """"Mime"""" Doll.""",http://auctions.morphyauctions.com/MIB_1985_Porcelain_Enesco__Mime__Doll_____________-LOT218459.aspx,https://auctions.morphyauctions.com/ItemImages/000218/218459a_sm.jpeg,1,6,12,25,50,218459a_
2488,Lot of 5: Vinyl Large Fashion Dolls.,http://auctions.morphyauctions.com/Lot_of_5__Vinyl_Large_Fashion_Dolls_______________-LOT143079.aspx,https://auctions.morphyauctions.com/ItemImages/000143/143079a_sm.jpeg,1,12,12,50,80,143079a_
2487,Lot of 20: Early Magazine Ad Sheets.,http://auctions.morphyauctions.com/Lot_of_20__Early_Magazine_Ad_Sheets_______________-LOT140819.aspx,https://auctions.morphyauctions.com/ItemImages/000140/140819a_sm.jpeg,1,2,12,10,20,140819a_
2873,Lot of 7: Santas & Trikes.,http://auctions.morphyauctions.com/Lot_of_7__Santas___Trikes_________________________-LOT112159.aspx,https://auctions.morphyauctions.com/ItemImages/000112/112159a_sm.jpeg,1,5,12,20,40,112159a_
2478,Lot of 4: Pieces of Doll Furniture.,http://auctions.morphyauctions.com/Lot_of_4__Pieces_of_Doll_Furniture________________-LOT143148.aspx,https://auctions.morphyauctions.com/ItemImages/000143/143148a_sm.jpeg,1,5,12,20,50,143148a_
2477,Lot of 3: Items.,http://auctions.morphyauctions.com/Lot_of_3__Items___________________________________-LOT143147.aspx,https://auctions.morphyauctions.com/ItemImages/000143/143147a_sm.jpeg,1,5,12,20,50,143147a_
2490,Lot of 4: All Vinyl Dolls.,http://auctions.morphyauctions.com/Lot_of_4__All_Vinyl_Dolls_________________________-LOT143083.aspx,https://auctions.morphyauctions.com/ItemImages/000143/143083a_sm.jpeg,1,12,12,50,100,143083a_
3095,Lot of 3: Character Baby Doll Heads.,http://auctions.morphyauctions.com/Lot_of_3__Character_Baby_Doll_Heads_______________-LOT107315.aspx,https://auctions.morphyauctions.com/ItemImages/000107/107315a_sm.jpeg,1,17,12,70,125,107315a_
2587,Lot of 8: Small Figures.,http://auctions.morphyauctions.com/Lot_of_8__Small_Figures___________________________-LOT114513.aspx,https://auctions.morphyauctions.com/ItemImages/000114/114513a_sm.jpeg,1,5,12.1,20,40,114513a_
2604,Large Lot of Fabric.,http://auctions.morphyauctions.com/Large_Lot_of_Fabric_______________________________-LOT115043.aspx,https://auctions.morphyauctions.com/ItemImages/000115/115043a_sm.jpeg,1,12,12.1,50,150,115043a_
3160,Lot of 3: Artist Repro Bisque Child Baby Dolls.,http://auctions.morphyauctions.com/Lot_of_3__Artist_Repro_Bisque_Child_Baby_Dolls____-LOT107360.aspx,https://auctions.morphyauctions.com/ItemImages/000107/107360a_sm.jpeg,1,20,12.1,80,125,107360a_
