Unnamed: 0,Doll_name,Link,Picture_link,Number_of_bids,Minimum_bid,Final_price,Estimated_price_range_min,Estimated_price_range_max,final_tags
3799,German All-Bisque Child Doll.,http://auctions.morphyauctions.com/German_All_Bisque_Child_Doll______________________-LOT80880.aspx,https://auctions.morphyauctions.com/ItemImages/000080/80880a_sm.jpeg,3,50,250,200,300,80880a_
603,SFBJ 236 Character Child.,http://auctions.morphyauctions.com/SFBJ_236_Character_Child_-LOT249192.aspx,https://auctions.morphyauctions.com/ItemImages/000249/16320915_1_sm.jpeg,9,50,250,200,300,16320915_
401,"""""""Das Lachende Baby"""" Doll.""",http://auctions.morphyauctions.com/_Das_Lachende_Baby__Doll__________________________-LOT257888.aspx,https://auctions.morphyauctions.com/ItemImages/000257/17145000_1_sm.jpeg,2,200,250,800,1200,17145000_
340,Lot of 2: Schoenhut Dolls.,http://auctions.morphyauctions.com/Lot_of_2__Schoenhut_Dolls_-LOT278707.aspx,https://auctions.morphyauctions.com/ItemImages/000278/17220755_1_sm.jpeg,7,75,254,350,550,17220755_
4011,Alexander Composition Margaret O’Brien.,http://auctions.morphyauctions.com/Alexander_Composition_Margaret_O_Brien____________-LOT30850.aspx,https://auctions.morphyauctions.com/ItemImages/000030/30850a_sm.jpeg,1,100,258.75,400,500,30850a_
4143,Hard Plastic Alexander Little Women Jo Doll.,http://auctions.morphyauctions.com/Hard_Plastic_Alexander_Little_Women_Jo_Doll_______-LOT32906.aspx,https://auctions.morphyauctions.com/ItemImages/000032/32906a_sm.jpeg,1,62,258.75,250,300,32906a_
3969,2 Lenci  All Original Mascottes.,http://auctions.morphyauctions.com/2_Lenci__All_Original_Mascottes___________________-LOT37270.aspx,https://auctions.morphyauctions.com/ItemImages/000037/37270a_sm.jpeg,1,75,258.75,300,600,37270a_
3944,Lovely Kestner 171 Child Doll.,http://auctions.morphyauctions.com/Lovely_Kestner_171_Child_Doll_____________________-LOT37286.aspx,https://auctions.morphyauctions.com/ItemImages/000037/37286a_sm.jpeg,1,100,258.75,400,600,37286a_
4498,Lot of 2: Bisque Dolls.,http://auctions.morphyauctions.com/Lot_of_2__Bisque_Dolls____________________________-LOT26316.aspx,https://auctions.morphyauctions.com/ItemImages/000026/26316a_sm.jpeg,1,50,258.75,200,300,26316a_
4512,Lot of 2: Candy Containers.,http://auctions.morphyauctions.com/Lot_of_2__Candy_Containers________________________-LOT26450.aspx,https://auctions.morphyauctions.com/ItemImages/000026/26450a_sm.jpeg,2,50,258.75,200,300,26450a_
4346,Lot of 4: Character Babies.,http://auctions.morphyauctions.com/Lot_of_4__Character_Babies________________________-LOT26234.aspx,https://auctions.morphyauctions.com/ItemImages/000026/26234a_sm.jpeg,2,50,258.75,200,300,26234a_
4334,Lot of 2: German Bisque Dolls.,http://auctions.morphyauctions.com/Lot_of_2__German_Bisque_Dolls_____________________-LOT26218.aspx,https://auctions.morphyauctions.com/ItemImages/000026/26218a_sm.jpeg,2,50,258.75,200,300,26218a_
4099,K & H 167 Character Baby.,http://auctions.morphyauctions.com/K___H_167_Character_Baby__________________________-LOT32930.aspx,https://auctions.morphyauctions.com/ItemImages/000032/32930a_sm.jpeg,2,50,258.75,200,300,32930a_
4195,Lot of 2: Merrill Celebrity Coloring Books.,http://auctions.morphyauctions.com/Lot_of_2__Merrill_Celebrity_Coloring_Books________-LOT33001.aspx,https://auctions.morphyauctions.com/ItemImages/000033/33001a_sm.jpeg,2,50,258.75,200,300,33001a_
4272,China Head with Brown Eyes.,http://auctions.morphyauctions.com/China_Head_with_Brown_Eyes________________________-LOT26103.aspx,https://auctions.morphyauctions.com/ItemImages/000026/26103a_sm.jpeg,3,50,258.75,200,300,26103a_
4513,Lot of 2: Mechanical Toys.,http://auctions.morphyauctions.com/Lot_of_2__Mechanical_Toys_________________________-LOT26455.aspx,https://auctions.morphyauctions.com/ItemImages/000026/26455a_sm.jpeg,4,37,258.75,150,200,26455a_
4059,Lot of 2: German Bisque Dolls.,http://auctions.morphyauctions.com/Lot_of_2__German_Bisque_Dolls_____________________-LOT32940.aspx,https://auctions.morphyauctions.com/ItemImages/000032/32940a_sm.jpeg,3,50,258.75,200,300,32940a_
4471,Lot of 3: Composition Dolls.,http://auctions.morphyauctions.com/Lot_of_3__Composition_Dolls_______________________-LOT26260.aspx,https://auctions.morphyauctions.com/ItemImages/000026/26260a_sm.jpeg,2,50,258.75,200,250,26260a_
4301,German Bisque Girl.,http://auctions.morphyauctions.com/German_Bisque_Girl________________________________-LOT26148.aspx,https://auctions.morphyauctions.com/ItemImages/000026/26148a_sm.jpeg,1,50,258.75,200,250,26148a_
4353,Lot of 2: Bisque Head Character Babies.,http://auctions.morphyauctions.com/Lot_of_2__Bisque_Head_Character_Babies____________-LOT26242.aspx,https://auctions.morphyauctions.com/ItemImages/000026/26242a_sm.jpeg,1,50,258.75,200,300,26242a_
4356,Lot of 2: All-Bisque Dolls.,http://auctions.morphyauctions.com/Lot_of_2__All_Bisque_Dolls________________________-LOT26248.aspx,https://auctions.morphyauctions.com/ItemImages/000026/26248a_sm.jpeg,3,25,258.75,100,150,26248a_
4357,Lot of 7: Small Dolls.,http://auctions.morphyauctions.com/Lot_of_7__Small_Dolls_____________________________-LOT26257.aspx,https://auctions.morphyauctions.com/ItemImages/000026/26257a_sm.jpeg,1,37,258.75,150,200,26257a_
4239,Lot of 2: Ester Williams Paper Doll Sets.,http://auctions.morphyauctions.com/Lot_of_2__Ester_Williams_Paper_Doll_Sets__________-LOT33046.aspx,https://auctions.morphyauctions.com/ItemImages/000033/33046a_sm.jpeg,2,50,258.75,200,300,33046a_
4464,Effanbee Composition/Cloth Charlie McCarthy.,http://auctions.morphyauctions.com/Effanbee_Composition_Cloth_Charlie_McCarthy_______-LOT26270.aspx,https://auctions.morphyauctions.com/ItemImages/000026/26270a_sm.jpeg,2,62,263.25,250,300,26270a_
4488,Lot of 2: Bisque Shoulder Head Dolls.,http://auctions.morphyauctions.com/Lot_of_2__Bisque_Shoulder_Head_Dolls______________-LOT26285.aspx,https://auctions.morphyauctions.com/ItemImages/000026/26285a_sm.jpeg,2,62,263.25,250,300,26285a_
3940,Bisque Head Kammer & Reinhardt Walking Doll.,http://auctions.morphyauctions.com/Bisque_Head_Kammer___Reinhardt_Walking_Doll_______-LOT37298.aspx,https://auctions.morphyauctions.com/ItemImages/000037/37298a_sm.jpeg,3,75,263.25,300,500,37298a_
4150,Lot of Barbie Family Male Dolls.,http://auctions.morphyauctions.com/Lot_of_Barbie_Family_Male_Dolls___________________-LOT30899.aspx,https://auctions.morphyauctions.com/ItemImages/000030/30899a_sm.jpeg,1,50,263.25,200,300,30899a_
3932,Lot of 17 Doll Wigs.,http://auctions.morphyauctions.com/Lot_of_17_Doll_Wigs_______________________________-LOT83928.aspx,https://auctions.morphyauctions.com/ItemImages/000083/83928a_sm.jpeg,1,50,265.5,200,400,83928a_
3543,Victorian Wicker Work Basket on Stand.,http://auctions.morphyauctions.com/Victorian_Wicker_Work_Basket_on_Stand_____________-LOT92591.aspx,https://auctions.morphyauctions.com/ItemImages/000092/92591a_sm.jpeg,2,50,265.5,200,400,92591a_
3796,Lot of 3 Bisque Dolls.,http://auctions.morphyauctions.com/Lot_of_3_Bisque_Dolls_____________________________-LOT78948.aspx,https://auctions.morphyauctions.com/ItemImages/000078/78948a_sm.jpeg,1,50,265.5,200,300,78948a_
3598,Lot of 2 German Bisque Dolls.,http://auctions.morphyauctions.com/Lot_of_2_German_Bisque_Dolls______________________-LOT78915.aspx,https://auctions.morphyauctions.com/ItemImages/000078/78915a_sm.jpeg,2,75,265.5,300,500,78915a_
2087,Rare German Character Toddler.,http://auctions.morphyauctions.com/Rare_German_Character_Toddler_____________________-LOT168786.aspx,https://auctions.morphyauctions.com/ItemImages/000168/168786a_sm.jpeg,1,75,265.5,300,500,168786a_
3919,Dainty Sonneberg Taulfing.,http://auctions.morphyauctions.com/Dainty_Sonneberg_Taulfing_________________________-LOT78875.aspx,https://auctions.morphyauctions.com/ItemImages/000078/78875a_sm.jpeg,2,75,265.5,300,500,78875a_
3474,Lot of Doll Accessories & Toys.,http://auctions.morphyauctions.com/Lot_of_Doll_Accessories___Toys____________________-LOT92503.aspx,https://auctions.morphyauctions.com/ItemImages/000092/92503a_sm.jpeg,2,50,265.5,200,300,92503a_
